Brand,Model,Fuel_Type,Year,Kilometers_Driven,Engine,Price
Peugeot,5008,Petrol,2024,26697,1152,845000
Peugeot,e-208,Electric,2023,3130,1200,995000
Peugeot,5008,Petrol,2024,28294,1152,845000
Peugeot,2008,Petrol,2023,38738,1152,695000
Peugeot,408,Petrol,2023,21145,1152,995000
Peugeot,3008,Petrol,2023,17794,1152,745000
Seat,Ibiza,Petrol,2024,17300,1020,595000
Seat,Leon Sportstourer,Petrol,2024,26924,1320,795000
Seat,Arona,Petrol,2023,25302,972,645000
Seat,Leon Sportstourer,Petrol,2024,20233,1320,795000
Seat,Ibiza,Petrol,2024,6916,1020,595000
Seat,Ibiza,Petrol,2024,14592,1020,595000
Skoda,Kamiq,Petrol,2024,10061,1020,695000
Skoda,Enyaq,Electric,2023,27183,1584,1095000
Skoda,Kamiq,Petrol,2024,17024,1020,695000
Skoda,Kamiq,Petrol,2024,9109,1020,695000
Skoda,Enyaq,Electric,2023,22965,1584,1095000
Skoda,Enyaq,Electric,2023,43520,1584,1095000
Volkswagen,ID.3,Electric,2024,15251,1800,995000
Volkswagen,Taigo,Petrol,2024,12762,1320,795000
Volkswagen,Golf Variant,Diesel,2024,27396,1320,845000
Volkswagen,Golf Variant,Petrol,2024,23544,1320,845000
Volkswagen,Golf GTI,Petrol,2023,26299,2160,1095000
Volkswagen,Golf Variant,Petrol,2024,34008,1320,845000
Seat,Leon Sportstourer,Petrol,2024,26824,1320,795000
Volkswagen,Golf Variant,Petrol,2024,23676,1320,845000
Audi,Q2,Petrol,2023,32670,1320,845000
Volkswagen,Golf,Diesel,2025,29998,1320,895000
Mercedes-Benz,A 200,Petrol,2023,5056,1440,1195000
Mercedes-Benz,C 220d T-Modell,Diesel,2024,13700,1740,1295000
Hyundai,Kona,Electric,2021,26682,1200,495000
Hyundai,Kona,Electric,2021,51304,1200,495000
Hyundai,Kona,Electric,2021,61879,1200,495000
Hyundai,Kona,Electric,2021,37418,1200,495000
Hyundai,Kona,Electric,2021,54399,1200,495000
Hyundai,Kona,Electric,2021,40659,1200,495000
Mercedes-Benz,Vito,Diesel,2024,44229,1680,1445000
Opel,Vivaro,Diesel,2025,10,1284,895000
Mercedes-Benz,Vito,Diesel,2024,35122,1440,1145000
Mercedes-Benz,Vito,Diesel,2024,31738,1680,1345000
Mercedes-Benz,Vito,Diesel,2024,55682,1680,1445000
Mercedes-Benz,Vito,Diesel,2024,48000,1440,1145000
Aston,Martin DBS 770,Petrol,2024,1850,6792,9995000
Audi,R8 Performance,Petrol,2019,25990,5472,3995000
Porsche,Cayenne Coupè,Plug-in Hybrid,2024,45000,4584,4450000
Audi,RS3,Petrol,2022,25996,3528,3245000
Porsche,Panamera GTS,Petrol,2023,35000,4236,3995000
Mercedes-Benz,C 300 T-Modell,Petrol,2023,300,2280,1745000
Mercedes-Benz,S 500 4Matic,Petrol,2024,17675,3840,5995000
Land,Rover Discovery Sport,Diesel,2024,13650,1440,3745000
Audi,S5,Diesel,2024,8550,3012,3245000
Audi,S5,Diesel,2024,5443,3012,3495000
Mercedes-Benz,S 450d 4Matic,Diesel,2025,8195,3240,5995000
BMW,M850i xDrive,Petrol,2025,24876,4680,6095000
Maruti,Wagon,CNG,2010,72000,998,175000
Hyundai,Creta,Diesel,2015,41000,1582,1250000
Honda,Jazz,Petrol,2011,46000,1199,450000
Maruti,Ertiga,Diesel,2012,87000,1248,600000
Audi,A4,Diesel,2013,40670,1968,1773999
Hyundai,EON,LPG,2012,75000,814,235000
Nissan,Micra,Diesel,2013,86999,1461,350000
Toyota,Innova,Diesel,2016,36000,2755,1750000
Volkswagen,Vento,Diesel,2013,64430,1598,520000
Tata,Indica,Diesel,2012,65932,1248,195000
Maruti,Ciaz,Petrol,2018,25692,1462,994999
Honda,City,Petrol,2012,60000,1497,449000
Maruti,Swift,Diesel,2015,64424,1248,560000
Land,Rover,Diesel,2014,72000,2179,2700000
Land,Rover,Diesel,2012,85000,2179,1750000
Mitsubishi,Pajero,Diesel,2014,110000,2477,1500000
Honda,Amaze,Diesel,2016,58950,1498,540000
Maruti,Swift,Diesel,2017,25000,1248,599000
Renault,Duster,Diesel,2014,77469,1461,634000
Mercedes-Benz,New,Diesel,2014,78500,2143,2800000
BMW,3,Diesel,2014,32982,1995,1855000
Maruti,S,Diesel,2015,55392,1248,825000
Audi,A6,Petrol,2015,55985,1984,2350000
Hyundai,i20,Petrol,2010,45807,1197,187000
Volkswagen,Vento,Petrol,2010,33000,1598,285000
Honda,City,Petrol,2012,51920,1497,425000
Nissan,Micra,Diesel,2012,54000,1461,425000
Maruti,Alto,Petrol,2013,54000,998,275000
Honda,WRV,Petrol,2018,37430,1199,990000
Toyota,Innova,Diesel,2007,262000,2494,400000
Renault,Duster,Diesel,2013,62000,1461,775000
Toyota,Corolla,Petrol,2012,87615,1798,675000
Mahindra,Ssangyong,Diesel,2013,72000,2696,1250000
Audi,A6,Diesel,2010,35000,2698,1150000
Volkswagen,Vento,Petrol,2014,55431,1598,698000
Maruti,Wagon,Petrol,2009,83816,1061,185000
Maruti,Vitara,Diesel,2018,50075,1248,863000
Mahindra,KUV,Petrol,2017,52000,1198,484999
Mercedes-Benz,M-Class,Diesel,2013,85000,2987,2800000
Volkswagen,Polo,Diesel,2013,62000,1199,500000
Maruti,Alto,Petrol,2008,90000,796,125000
Tata,Nano,Petrol,2014,19698,624,153000
Mahindra,KUV,Diesel,2017,22033,1198,558000
Hyundai,i20,Petrol,2014,35487,1197,474000
Hyundai,Elantra,Petrol,2014,46374,1999,885000
Toyota,Corolla,Petrol,2016,52001,1798,1011000
Hyundai,Elantra,Diesel,2008,58005,1991,425000
Toyota,Innova,Petrol,2012,70704,2694,1095000
Hyundai,Xcent,Diesel,2014,75000,1120,385000
Mahindra,Thar,Diesel,2012,75800,2498,550000
Audi,A4,Diesel,2015,13648,1968,2143000
Maruti,Swift,Diesel,2014,52000,1248,425000
Maruti,Swift,Diesel,2014,53000,1248,330000
Maruti,Swift,Diesel,2013,65650,1248,385000
Hyundai,Grand,Petrol,2015,54000,1197,360000
Volkswagen,Vento,Petrol,2015,39000,1598,399000
Renault,KWID,Petrol,2017,16542,799,330000
Hyundai,i10,Petrol,2010,32000,1197,206999
Nissan,X-Trail,Diesel,2010,121812,1995,775000
Maruti,Zen,Petrol,2010,39300,998,225000
Toyota,Innova,Diesel,2017,22000,2393,1650000
Ford,Figo,Diesel,2010,72000,1399,275000
Mercedes-Benz,New,Petrol,2015,58000,1796,2670000
Mercedes-Benz,New,Diesel,2011,65000,2148,1000000
Tata,Indica,Diesel,2016,178000,1396,250000
Audi,A4,Diesel,2012,65664,1968,1350000
Honda,City,Petrol,2007,63000,1497,185000
Mercedes-Benz,C-Class,Diesel,2019,15369,1950,3567000
Maruti,Ertiga,Diesel,2016,63000,1248,815000
Hyundai,Creta,Diesel,2018,13000,1396,1050000
Porsche,Cayenne,Petrol,2008,73000,4806,1450000
Mahindra,XUV500,Diesel,2015,55729,2179,965000
Hyundai,i10,Petrol,2012,45178,1197,348000
Nissan,Terrano,Diesel,2015,56066,1461,692000
Honda,Brio,Petrol,2016,37300,1198,646000
Audi,A6,Diesel,2014,56000,1968,2950000
Ford,Fiesta,Diesel,2008,111111,1399,200000
Toyota,Innova,Petrol,2006,230000,1998,450000
Toyota,Innova,Diesel,2012,104000,2494,1175000
Hyundai,Santro,Petrol,2005,87591,1086,130000
Maruti,Swift,Diesel,2012,95100,1248,375000
Tata,Zest,Petrol,2017,70000,1193,450000
Honda,Amaze,Petrol,2016,54944,1198,482000
Ford,Figo,Diesel,2012,70337,1399,280000
Maruti,Ritz,Diesel,2013,99638,1248,311000
Honda,City,Petrol,2009,52000,1497,325000
BMW,5,Diesel,2011,75000,1995,1390000
Hyundai,i10,Petrol,2009,95980,1197,225000
Hyundai,Grand,Petrol,2016,16000,1197,575000
Hyundai,Santro,Petrol,2007,73745,1086,210000
Honda,Amaze,Petrol,2016,18949,1198,500000
Toyota,Fortuner,Diesel,2014,107000,2982,1650000
Audi,A6,Diesel,2018,48367,1968,3958000
Ford,Ecosport,Diesel,2013,57000,1498,550000
Mahindra,XUV500,Diesel,2014,58000,2179,810000
Honda,Amaze,Diesel,2015,30000,1498,350000
Volkswagen,Polo,Diesel,2013,34212,1199,279000
Hyundai,Verna,Diesel,2010,70002,1493,345000
Maruti,Wagon,Petrol,2016,62000,998,445000
Volkswagen,Polo,Petrol,2010,62001,1598,265000
Hyundai,i20,Diesel,2011,78958,1396,380000
Hyundai,i20,Petrol,2014,30180,1197,465000
Datsun,GO,Petrol,2017,32851,1198,395000
Audi,A4,Diesel,2010,30000,2967,980000
Hyundai,i20,Petrol,2009,66000,1197,270000
Maruti,Omni,Petrol,2010,93850,796,241000
Toyota,Etios,Petrol,2014,53000,1197,390000
Jaguar,XF,Diesel,2011,78000,2993,2400000
Mahindra,XUV500,Diesel,2012,65000,2179,575000
Hyundai,Verna,Diesel,2014,40000,1582,525000
Toyota,Innova,Diesel,2017,30000,2755,1925000
Maruti,Eeco,Petrol,2017,38053,1196,391000
Tata,Nano,Petrol,2014,25500,624,215000
BMW,3,Diesel,2015,56087,1995,2075000
Honda,Civic,Petrol,2010,71088,1799,335000
Toyota,Innova,Diesel,2014,55000,2494,1111000
Volvo,V40,Diesel,2014,32700,1984,2000000
Nissan,Micra,Petrol,2016,39882,1198,655000
BMW,5,Petrol,2009,128000,2497,700000
Maruti,Vitara,Diesel,2016,55000,1248,750000
Hyundai,Santro,Petrol,2005,102000,1086,85000
Mercedes-Benz,B,Diesel,2014,53753,2143,1675000
Hyundai,Verna,Diesel,2018,10250,1582,1095000
Maruti,Wagon,Petrol,2011,43874,998,245000
Tata,Nano,Petrol,2017,32684,624,323000
Mahindra,Scorpio,Diesel,2014,42000,2179,775000
Mercedes-Benz,New,Petrol,2009,28352,1796,935000
Maruti,Wagon,CNG,2013,89900,998,325000
Honda,CR-V,Petrol,2007,47700,2354,525000
Volkswagen,Vento,Diesel,2015,55000,1498,725000
Maruti,Ciaz,Petrol,2017,44285,1373,747000
Mahindra,XUV500,Diesel,2016,54000,2179,1325000
Maruti,Ritz,Petrol,2016,30232,1197,581000
Maruti,Alto,Petrol,2014,88500,998,260000
Mercedes-Benz,SLC,Petrol,2017,13372,2996,5400000
Hyundai,Verna,Petrol,2019,12645,1591,1150000
Maruti,Alto,Petrol,2010,94385,796,160000
BMW,1,Diesel,2015,31821,1995,1722000
Honda,Jazz,Petrol,2015,12000,1199,600000
Honda,Civic,Petrol,2012,88578,1799,395000
Mercedes-Benz,New,Diesel,2014,44965,2143,1795000
Honda,Amaze,Diesel,2014,45044,1498,370000
Maruti,Swift,Petrol,2016,34204,1197,543000
Hyundai,Santro,Petrol,2008,80759,1086,167000
Toyota,Fortuner,Diesel,2012,91235,2982,1349000
Chevrolet,Beat,Petrol,2014,38800,1199,285000
Skoda,Rapid,Diesel,2013,83000,1498,475000
Maruti,Ciaz,Petrol,2018,41283,1373,990000
Audi,RS5,Petrol,2013,23000,2894,3700000
BMW,3,Diesel,2014,48000,1995,2650000
Audi,A4,Diesel,2015,48214,1968,2332000
Maruti,Swift,Diesel,2016,35000,1248,625000
Mercedes-Benz,S,Petrol,2010,35277,5461,3000000
Skoda,Rapid,Diesel,2016,54620,1498,986000
Skoda,Superb,Diesel,2012,136997,1968,850000
Hyundai,EON,Petrol,2019,14322,814,423000
Volkswagen,Polo,Diesel,2012,65634,1199,350000
Datsun,GO,Petrol,2016,6000,1198,250000
Honda,Brio,Petrol,2013,33280,1198,239000
Mercedes-Benz,B,Petrol,2013,29000,1595,1125000
Honda,City,Diesel,2015,42831,1498,711000
Toyota,Innova,Diesel,2016,90000,2494,1090000
Maruti,Swift,Petrol,2017,24005,1197,620000
Mahindra,XUV500,Diesel,2012,32792,2179,790000
Ford,Ecosport,Diesel,2014,147898,1498,442000
Toyota,Fortuner,Diesel,2012,131765,2982,1350000
Volkswagen,Vento,Diesel,2013,65000,1498,625000
Ford,Figo,Diesel,2010,66123,1399,210000
BMW,X5,Diesel,2015,41000,2993,4500000
Mercedes-Benz,New,Diesel,2017,23550,2143,3365999
Honda,Brio,Petrol,2012,45000,1198,365000
Hyundai,i10,Petrol,2013,60000,1197,275000
Mercedes-Benz,GLC,Diesel,2016,44414,2143,4250000
Hyundai,Grand,Petrol,2019,1000,1197,650000
Audi,A6,Diesel,2012,62500,1968,1900000
Volkswagen,Vento,Petrol,2013,21000,1598,445000
Mini,Countryman,Diesel,2017,8525,1998,2300000
Hyundai,i20,Diesel,2014,29000,1396,835000
Audi,A6,Diesel,2014,40000,1968,2295000
Chevrolet,Beat,Diesel,2012,88000,936,150000
Skoda,Superb,Petrol,2012,53537,1798,689000
Ford,Fiesta,Diesel,2006,216000,1399,145000
BMW,5,Diesel,2014,51000,1995,3350000
Chevrolet,Optra,Petrol,2007,118500,1598,125000
Volkswagen,Polo,Diesel,2012,63000,1199,420000
Renault,Lodgy,Diesel,2015,25000,1461,675000
Mercedes-Benz,E-Class,Diesel,2014,37382,2143,3200000
Maruti,Baleno,Petrol,2017,24773,1197,750000
Hyundai,Verna,Diesel,2012,62000,1582,459999
Hyundai,i10,Petrol,2017,52340,1086,404000
Mahindra,Scorpio,Diesel,2016,56739,1997,1031000
Land,Rover,Diesel,2018,36091,2179,5576000
Ford,Figo,Diesel,2010,120000,1399,260000
Maruti,Ertiga,Diesel,2016,33000,1248,850000
Honda,City,Petrol,2007,60006,1493,295000
Honda,Amaze,Diesel,2014,52000,1498,350000
Hyundai,i10,Petrol,2015,43571,1197,355000
Honda,Amaze,Diesel,2013,50000,1498,325000
Skoda,Laura,Diesel,2008,113000,1896,450000
Renault,Duster,Diesel,2014,90000,1461,535000
Mahindra,NuvoSport,Diesel,2017,29000,1493,650000
Maruti,Vitara,Diesel,2016,20000,1248,900000
Hyundai,i20,Petrol,2016,61012,1197,600000
Skoda,Fabia,Petrol,2009,87459,1390,275000
Tata,Indigo,Petrol,2010,70500,1193,150000
Audi,Q3,Diesel,2015,64103,1968,1989999
Skoda,Octavia,Petrol,2014,76000,1798,1000000
Toyota,Etios,Diesel,2014,104000,1364,300000
Maruti,Swift,Petrol,2010,42001,1493,211000
Mercedes-Benz,B,Petrol,2014,37245,1595,1196000
Honda,Amaze,Diesel,2013,45000,1498,325000
Hyundai,Verna,Diesel,2012,117837,1582,475000
Renault,Duster,Diesel,2014,30000,1461,595000
Hyundai,Creta,Petrol,2015,27057,1591,815000
Maruti,Wagon,Petrol,2016,8500,998,422000
Mercedes-Benz,New,Petrol,2010,30500,1796,1050000
Audi,A8,Diesel,2012,56000,2967,4500000
Hyundai,i10,Petrol,2012,44000,1086,290000
Skoda,Rapid,Petrol,2017,10500,1598,890000
Skoda,Superb,Petrol,2017,26000,1798,2600000
Hyundai,i20,Petrol,2018,25166,1197,822000
Honda,Amaze,Diesel,2014,64000,1498,350000
Maruti,Wagon,Petrol,2004,61000,998,125000
Mahindra,Verito,Diesel,2013,107000,1461,370000
Mercedes-Benz,New,Diesel,2018,29161,2143,3940999
Maruti,Wagon,Petrol,2013,32000,998,265000
Nissan,Terrano,Diesel,2015,46173,1461,892000
Maruti,Swift,Diesel,2013,47000,1248,409999
Mini,Cooper,Petrol,2017,26327,1998,3567000
Ford,Figo,Diesel,2015,70436,1498,360000
Tata,Indica,Diesel,2007,200000,1396,85000
Chevrolet,Beat,Petrol,2016,60813,1199,332000
Volkswagen,Polo,Diesel,2012,45000,1199,360000
Maruti,Swift,Diesel,2016,64000,1248,680000
Ford,Figo,Diesel,2012,41284,1399,250000
Toyota,Innova,Diesel,2019,14165,2755,1964000
Hyundai,Santa,Diesel,2011,67000,2199,700000
Honda,City,Petrol,2011,32572,1497,387000
Hyundai,i20,Petrol,2018,14960,1197,627000
Mercedes-Benz,New,Diesel,2015,55980,2143,1812000
Chevrolet,Beat,Diesel,2013,74000,936,265000
Hyundai,i20,Diesel,2015,56847,1396,720000
Toyota,Innova,Diesel,2015,121374,2494,1430000
Maruti,Ertiga,Diesel,2013,52000,1248,690000
Toyota,Innova,Diesel,2014,118000,2494,1075000
Hyundai,Santro,Petrol,2007,72000,1086,95000
Honda,City,Petrol,2016,33915,1497,809000
BMW,X1,Diesel,2014,82002,1995,1850000
Hyundai,Grand,Diesel,2017,33000,1120,475000
Maruti,Ciaz,Diesel,2016,34000,1248,844999
Skoda,Rapid,Diesel,2012,55000,1598,350000
Hyundai,Accent,Diesel,2006,160538,1493,180000
Volkswagen,Polo,Diesel,2014,60000,1498,370000
Honda,Jazz,Petrol,2017,49575,1199,717000
Hyundai,i10,Petrol,2010,83000,1086,175000
Hyundai,Tucson,Diesel,2018,51346,1995,2199000
Toyota,Innova,Diesel,2017,43000,2393,1864999
Maruti,Omni,Petrol,2011,35000,796,185000
Maruti,Swift,Petrol,2017,27872,1197,595000
Hyundai,Grand,Petrol,2014,16514,1197,375000
Maruti,Swift,Diesel,2012,120000,1248,375000
Hyundai,Verna,Diesel,2008,143275,1582,260000
Hyundai,Santro,Petrol,2006,99000,1086,175000
Hyundai,i20,Petrol,2010,52000,1197,280000
Mercedes-Benz,GLE,Diesel,2017,29819,2987,6129000
Mercedes-Benz,New,Diesel,2014,57000,2148,1800000
Maruti,Ritz,Diesel,2014,88500,1248,434999
Hyundai,Creta,Diesel,2016,28000,1582,1375000
Maruti,A-Star,Petrol,2010,67000,998,200000
Renault,Duster,Diesel,2016,26000,1461,1000000
Fiat,Grande,Diesel,2010,120000,1248,165000
BMW,X3,Diesel,2017,51982,2993,4577000
Hyundai,i10,Petrol,2010,36000,1197,325000
Toyota,Innova,Diesel,2016,47000,2494,1280000
Maruti,Zen,Petrol,2002,60000,993,55000
Maruti,Swift,Diesel,2018,31025,1248,715000
Mahindra,Scorpio,Diesel,2013,105000,2179,700000
Tata,Zest,Diesel,2017,121900,1248,375000
Ford,EcoSport,Petrol,2017,22695,999,850000
Maruti,Swift,Diesel,2012,73000,1248,434999
Maruti,Alto,Petrol,2016,32227,796,326000
Honda,City,Petrol,2011,55000,1497,421000
Audi,Q7,Diesel,2018,11287,2967,7036000
Skoda,Laura,Diesel,2009,48000,1896,295000
Hyundai,Verna,Petrol,2012,54308,1591,428000
Honda,City,Petrol,2009,78442,1497,357000
Hyundai,i20,Diesel,2013,46000,1396,311000
Hyundai,i20,Petrol,2014,45051,1396,596000
Volkswagen,Vento,Diesel,2011,69000,1598,470000
Honda,City,Petrol,2014,49000,1497,690000
Tata,Zest,Diesel,2018,45000,1248,525000
BMW,5,Diesel,2015,64000,1995,2800000
Maruti,Wagon,Petrol,2009,60000,1061,135000
Honda,Jazz,Petrol,2015,62178,1199,484999
Volkswagen,Jetta,Diesel,2012,58006,1896,670000
Hyundai,i10,Petrol,2010,74000,1197,310000
Mercedes-Benz,New,Diesel,2015,77771,2143,1864000
Hyundai,i10,Petrol,2012,45275,1197,280000
Toyota,Innova,Diesel,2016,48000,2393,2025000
Audi,A6,Diesel,2015,31652,1968,2678000
Toyota,Innova,Diesel,2010,109000,2494,826000
Volkswagen,Polo,Petrol,2015,31978,1198,389000
Maruti,Alto,Petrol,2011,70000,998,210000
Honda,City,Petrol,2017,15000,1497,1269000
Tata,Indigo,Diesel,2013,59138,1405,258000
Audi,A6,Diesel,2014,61726,1968,2077000
Mercedes-Benz,GLA,Diesel,2015,48000,2143,2026000
Hyundai,Santro,Petrol,2006,58000,1086,150000
Maruti,Swift,Diesel,2011,60020,1248,250000
Maruti,Celerio,Petrol,2014,77815,998,425000
Mercedes-Benz,GLE,Diesel,2017,29000,2143,5700000
Land,Rover,Diesel,2017,44000,2179,4400000
Volkswagen,Vento,Diesel,2011,108626,1598,365000
Maruti,Omni,Petrol,2012,71791,796,204999
Honda,Brio,Petrol,2012,91931,1198,313000
Tata,Sumo,Diesel,2000,158000,2956,150000
Tata,Indica,Diesel,2012,91183,1248,285000
Maruti,Wagon,Petrol,2012,65000,998,265000
Mahindra,XUV500,Diesel,2015,88428,2179,1060000
Tata,Indigo,Diesel,2008,138000,1396,125000
Maruti,Ertiga,Petrol,2018,18000,1373,825000
Honda,Accord,Petrol,2011,60000,2354,445000
Maruti,Swift,Diesel,2012,48000,1248,370000
Ford,Fiesta,Diesel,2009,160000,1399,280000
Honda,City,Petrol,2008,40000,1497,180000
Audi,A6,Diesel,2014,51495,1968,2195000
BMW,6,Diesel,2011,30000,2993,4900000
Audi,Q7,Diesel,2017,97430,2967,6267000
Maruti,Zen,CNG,2008,42496,998,140000
Hyundai,i20,Diesel,2012,83000,1396,550000
Hyundai,i10,Petrol,2009,37000,1197,295000
Honda,Jazz,Petrol,2016,28503,1199,686000
Maruti,Swift,Diesel,2015,76496,1248,615000
Hyundai,i20,Petrol,2011,79152,1197,330000
Volkswagen,Polo,Petrol,2011,32000,1198,254999
Maruti,Alto,Petrol,2009,35000,796,150000
Toyota,Corolla,Petrol,2004,105000,1794,250000
Maruti,Alto,Petrol,2006,56000,796,140000
Tata,Manza,Diesel,2012,73000,1248,340000
Maruti,Alto,Petrol,2012,38000,796,225000
Skoda,Octavia,Diesel,2013,775000,1968,750000
Toyota,Corolla,Petrol,2008,80000,1794,280000
Hyundai,i20,Petrol,2016,24973,1197,766000
Maruti,Vitara,Diesel,2016,45000,1248,715000
Honda,City,Petrol,2010,87430,1497,350000
Tata,Indica,Diesel,2014,133944,1248,350000
Honda,Amaze,Diesel,2013,57000,1498,345000
Hyundai,EON,Petrol,2016,27904,814,355000
BMW,3,Diesel,2015,30717,1995,2599000
Hyundai,Verna,Diesel,2012,80000,1582,525000
Tata,Manza,Diesel,2013,47304,1248,290000
Skoda,Octavia,Petrol,2005,100000,1984,204999
Maruti,Alto,Petrol,2017,30000,998,375000
Ford,Ecosport,Diesel,2014,68000,1498,675000
Chevrolet,Spark,Petrol,2011,21000,995,95000
Jaguar,XF,Diesel,2017,21000,1999,5200000
Honda,CR-V,Petrol,2007,119000,1997,391000
Skoda,Superb,Petrol,2019,13747,1798,2730000
Hyundai,i10,Petrol,2009,620000,1197,270000
Maruti,Swift,Diesel,2013,70000,1248,350000
Maruti,Swift,Petrol,2016,18000,1197,620000
Nissan,Micra,Diesel,2011,83000,1461,275000
Maruti,Swift,Diesel,2015,130000,1248,325000
Ford,Fiesta,Diesel,2012,63400,1399,325000
Maruti,Zen,Petrol,2003,65000,993,65000
Mini,Clubman,Petrol,2017,8350,1998,3500000
Toyota,Etios,Diesel,2014,45000,1364,325000
Maruti,Alto,Petrol,2018,26200,796,290000
Maruti,Alto,Petrol,2011,11000,796,290000
BMW,X5,Diesel,2009,90000,2993,1775000
Nissan,Teana,Petrol,2015,74000,2496,825000
Hyundai,Grand,Petrol,2015,37081,1197,577000
Maruti,Vitara,Diesel,2017,39000,1248,949000
Audi,Q7,Diesel,2008,99000,2967,1295000
Mercedes-Benz,GLA,Diesel,2015,38000,2143,2000000
Maruti,800,Petrol,2007,72000,796,100000
Renault,Duster,Diesel,2015,93000,1461,710000
Toyota,Corolla,Diesel,2017,5900,1364,1650000
Mercedes-Benz,New,Diesel,2014,25000,2148,2600000
Maruti,Ritz,Diesel,2010,68000,1248,320000
Honda,BRV,Petrol,2017,35676,1497,948000
Hyundai,Xcent,Diesel,2015,74310,1120,400000
Mercedes-Benz,E-Class,Diesel,2014,59364,2143,2650000
Mercedes-Benz,B,Petrol,2014,41380,1595,1177000
Mercedes-Benz,E-Class,Diesel,2017,33900,2143,3700000
Honda,City,Petrol,2016,28000,1497,875000
Hyundai,Santro,Petrol,2007,50958,1086,195000
Honda,City,Petrol,2011,93982,1497,375000
Hyundai,Verna,Petrol,2010,95000,1599,250000
Jaguar,XE,Petrol,2017,9000,1999,3450000
Honda,Amaze,Petrol,2015,52516,1198,465000
Mini,Cooper,Petrol,2015,20000,1598,3200000
Mercedes-Benz,S,Diesel,2017,56451,2987,6281000
Hyundai,EON,Petrol,2014,37000,814,325000
Maruti,Wagon,Petrol,2014,17400,998,310000
Maruti,Ritz,Diesel,2011,90207,1248,391000
BMW,3,Diesel,2011,89616,1995,1100000
Tata,Xenon,Diesel,2014,85000,2179,350000
Audi,A3,Diesel,2014,79271,1968,1650000
Land,Rover,Diesel,2012,56000,2179,3000000
Mercedes-Benz,GL-Class,Diesel,2010,85001,2987,2800000
Mitsubishi,Pajero,Diesel,2018,12000,2477,2800000
Maruti,Alto,Petrol,2010,125000,796,92000
Maruti,Wagon,Petrol,2013,53000,1061,275000
Land,Rover,Diesel,2017,34990,2179,5383000
Hyundai,Verna,Petrol,2011,49768,1591,495000
BMW,5,Diesel,2013,56000,2993,3350000
Jaguar,XF,Diesel,2013,75000,2993,2795000
Skoda,Superb,Petrol,2010,57000,1798,725000
Audi,Q3,Diesel,2017,37542,1968,2571000
Land,Rover,Diesel,2014,95649,2179,2967000
Mercedes-Benz,New,Diesel,2013,35299,2143,1900000
Mahindra,Scorpio,Diesel,2017,28464,2179,1305000
BMW,3,Diesel,2015,41000,1995,2550000
Honda,BR-V,Petrol,2017,9000,1497,850000
Volvo,S80,Diesel,2010,92098,2400,725000
Hyundai,Accent,Petrol,2005,5834,1495,80000
Hyundai,i20,Petrol,2017,40250,1197,690000
Mercedes-Benz,GLC,Petrol,2018,22397,2996,7098999
Hyundai,EON,Petrol,2015,20800,814,225000
Hyundai,Grand,Petrol,2018,40322,1197,550000
Honda,City,Petrol,2013,52576,1493,434999
Volkswagen,Polo,Petrol,2010,55000,1198,225000
Audi,A6,Petrol,2016,47000,1798,2450000
Volkswagen,Jetta,Diesel,2010,42021,1968,545000
Hyundai,Creta,Petrol,2017,23163,1591,1203000
